"","StudyID","ChannelID","Total_abd","Taxon_modalities_n","EPT_rel.abd","EPT_abd","EPT_taxon_modalities_n","Gill_rel.abd","Tegument_rel.abd","Gills.Tegument","Scraper_rel.abd","Fast_flow_adapted_rel.abd","Slow_flow_adapted_rel.abd","Fast.Slow_flow_adapted","NonEPT_fast_flow_adapted_rel.abd","Treatment"
"1","beermann","beermann_02",1217,21,0.0788824979457683,96,10,0.343856292517007,0.643388605442177,0.534445729390385,0.396831695641219,0.495462884227765,0.504537115772235,0.982014739330761,0.503689344890003,"Flow reduction
& Fine sediment addition"
"2","beermann","beermann_03",696,23,0.227011494252874,158,11,0.5670135851483,0.413023648774944,1.3728356398722,0.38095375167914,0.501533157880308,0.498466842119692,1.00615149394406,0.523870501707381,"Flow reduction"
"3","beermann","beermann_08",591,20,0.241962774957699,143,8,0.588135899521099,0.383943254721243,1.53183026993952,0.375268817204301,0.501182193307431,0.498817806692569,1.00473998037588,0.533256861772487,"Flow reduction"
"4","beermann","beermann_09",421,25,0.218527315914489,92,10,0.48986388986389,0.478858078858079,1.02298345061246,0.385254301920969,0.48845869679203,0.51154130320797,0.954876358426613,0.517125547063819,"Fine sediment addition"
"5","beermann","beermann_12",535,23,0.164485981308411,88,11,0.540002061430633,0.430313337456195,1.25490430908525,0.373112073112073,0.499960489246203,0.500039510753796,0.999841969472624,0.521923287440529,"Flow reduction
& Fine sediment addition"
"6","beermann","beermann_15",898,23,0.179287305122494,161,12,0.455135520684736,0.534878744650499,0.850913455127351,0.384300206054842,0.500283042365781,0.499716957634219,1.00113281072998,0.510606708272777,"Fine sediment addition"
"7","beermann","beermann_17",567,22,0.299823633156966,170,10,0.61202216586832,0.365436273128581,1.67477125526884,0.387990357221126,0.50982905982906,0.49017094017094,1.04010462074978,0.525999717394376,"Flow reduction"
"8","beermann","beermann_18",605,23,0.343801652892562,208,12,0.635073431241656,0.335554072096128,1.89261130784228,0.420623052959502,0.522682094644711,0.477317905355289,1.09503978120338,0.542048974061169,"Flow reduction"
"9","beermann","beermann_21",603,20,0.252072968490879,152,10,0.551431523022432,0.423479929161747,1.30214323052797,0.395902203856749,0.505137413091958,0.494862586908041,1.02076298846537,0.521145803630834,"Fine sediment addition"
"10","beermann","beermann_24",1231,26,0.0966693744922827,119,13,0.349016320143081,0.639447797898502,0.545808932785596,0.389546165884194,0.497244951188613,0.502755048811387,0.989040194353492,0.500716710990684,"Flow reduction
& Fine sediment addition"
"11","beermann","beermann_27",502,21,0.278884462151394,140,10,0.5553456347574,0.4084846526023,1.35952631566328,0.414077425842132,0.508517381311499,0.491482618688501,1.03465994925406,0.530693524650478,"Fine sediment addition"
"12","beermann","beermann_30",577,22,0.178509532062392,103,11,0.479081666336568,0.494180365748993,0.969446986446859,0.397034616315662,0.503971712141647,0.496028287858353,1.01601405499995,0.515112525976036,"Flow reduction
& Fine sediment addition"
"13","beermann","beermann_35",545,22,0.179816513761468,98,10,0.493728330493036,0.478534700593524,1.03175032005133,0.390975364504776,0.50963603390074,0.49036396609926,1.03930155789134,0.52243210386274,"Fine sediment addition"
"14","beermann","beermann_36",369,21,0.178861788617886,66,8,0.580662020905923,0.395383275261324,1.46860541969597,0.359637533875339,0.504695363917925,0.495304636082075,1.01895949916829,0.528142796558827,"Flow reduction
& Fine sediment addition"
"15","beermann","beermann_38",512,22,0.2109375,108,11,0.479825417149361,0.49874296282747,0.962069548669194,0.392057902973396,0.49747559430658,0.50252440569342,0.989953102118746,0.514761411811101,"Flow reduction
& Fine sediment addition"
"16","beermann","beermann_40",512,21,0.232421875,119,10,0.579020166825045,0.403083095766023,1.43647841575859,0.380130574033013,0.499085805793123,0.500914194206877,0.996349896978565,0.521784880118213,"Flow reduction"
"17","beermann","beermann_41",586,27,0.305460750853242,179,11,0.546814473706904,0.429164726375882,1.27413657297636,0.404869411243913,0.491249288560046,0.508750711439954,0.965599216892742,0.517440841367222,"Flow reduction"
"18","beermann","beermann_47",556,20,0.226618705035971,126,9,0.57729151014275,0.399229902329076,1.44601270289344,0.387132690541781,0.51330266955267,0.48669733044733,1.05466506068748,0.524712605562188,"Fine sediment addition"
"19","beermann","beermann_52",411,23,0.253041362530414,104,11,0.487285649673709,0.488097176455385,0.998337366367145,0.408142620232173,0.519726368159204,0.480273631840796,1.08214637178226,0.524132799671593,"Fine sediment addition"
"20","beermann","beermann_55",594,21,0.228956228956229,136,10,0.493744081439394,0.493471827651515,1.00055171090349,0.38759765625,0.508064391121032,0.491935608878968,1.03278636868516,0.518366595090733,"Flow reduction"
